Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Alex Ovechkin\ovechal01,30,LW,WSH,79,50,21,71,21,53,31,19,0,8,16,5,0,398,12.6,1604,20:19,34,225,0,0,
2,Patrick Kane\kanepa01,27,RW,CHI,82,46,60,106,17,30,29,17,0,9,40,20,0,287,16.0,1674,20:25,21,37,11,40,21.6
3,Jamie Benn\bennja01,26,LW,DAL,82,41,48,89,7,64,22,17,2,5,32,13,3,247,16.6,1642,20:01,55,156,226,252,47.3
4,Vladimir Tarasenko\tarasvl01,24,RW,STL,80,40,34,74,7,37,28,12,0,7,22,12,0,292,13.7,1491,18:38,28,32,0,1,0.0
5,Joe Pavelski\paveljo01,31,C,SJS,82,38,40,78,25,30,26,12,0,11,24,16,0,224,17.0,1625,19:49,67,147,516,422,55.0
6,Brad Marchand\marchbr03,27,LW,BOS,77,37,24,61,21,90,27,6,4,6,20,2,2,250,14.8,1432,18:36,35,65,21,35,37.5
7,Sidney Crosby\crosbsi01,28,C,PIT,80,36,49,85,19,42,26,10,0,9,35,14,0,248,14.5,1638,20:28,35,90,986,921,51.7
8,Steven Stamkos\stamkst01,25,C,TBL,77,36,28,64,3,38,21,14,1,8,17,9,2,216,16.7,1521,19:45,35,109,463,464,49.9
9,Corey Perry\perryco01,30,RW,ANA,82,34,28,62,2,68,22,12,0,6,16,12,0,215,15.8,1452,17:42,36,104,2,8,20.0
10,Tyler Seguin\seguity01,24,C,DAL,72,33,40,73,2,16,26,7,0,6,23,17,0,278,11.9,1400,19:27,27,80,470,376,55.6
11,John Tavares\tavarjo01,25,C,NYI,78,33,37,70,6,38,26,7,0,5,25,12,0,250,13.2,1560,19:00,29,51,741,629,54.1
12,Filip Forsberg\forsbfi01,21,LW,NSH,82,33,31,64,1,47,24,8,1,3,16,15,0,247,13.4,1562,19:03,41,114,2,7,22.2
